iage;irace;ideathmon;ideathday;isex;ihispanic;istatenum;iinjury
40;0;0;0;0;0;0;0
42;0;0;0;0;0;0;0
57;1;3;4;0;1;0;1
46;1;3;4;1;1;0;1
42;0;0;0;0;0;0;3
43;0;0;0;0;0;0;3
43;1;3;5;0;1;0;1
53;1;3;4;0;1;0;1
77;0;0;0;0;0;0;3
48;3;3;8;0;2;0;1
28;1;3;5;1;1;0;1
18;1;3;7;0;1;0;1
34;1;3;6;0;1;0;1
51;1;3;7;0;1;0;1
35;0;0;0;0;0;0;0
49;1;3;4;1;1;0;1
37;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0
24;4;3;15;1;1;0;1
27;0;0;0;0;0;0;0
31;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
33;1;3;5;1;1;0;1
44;2;3;6;0;1;0;1
23;1;3;6;0;1;0;1
37;1;3;7;0;1;0;1
55;0;0;0;0;0;0;0
18;1;3;7;0;2;0;1
7;1;3;7;0;2;0;1
52;0;0;0;1;0;0;0
5;0;0;0;0;0;0;3
2;0;0;0;1;0;0;4
79;2;2;26;0;1;0;1
58;0;0;0;0;0;0;0
19;1;3;7;1;1;0;1
22;0;0;0;0;0;0;0
78;0;0;0;1;0;0;0
62;0;0;0;1;0;0;0
40;0;0;0;1;0;0;0
18;0;0;0;0;0;0;0
48;1;3;7;1;1;0;1
37;0;0;0;0;0;0;0
37;3;3;7;1;2;0;1
22;1;2;26;0;1;0;1
22;2;3;8;0;1;0;1
20;0;0;0;0;0;0;0
42;1;3;17;0;1;0;1
40;1;3;13;0;1;0;1
26;1;3;9;1;1;0;1
20;2;3;24;0;1;0;1
22;0;0;0;0;0;0;0
26;1;3;10;1;1;0;1
21;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
45;2;3;11;0;1;0;1
21;1;3;16;0;1;0;1
53;0;0;0;0;0;0;0
26;1;3;13;1;1;0;1
26;0;0;0;0;0;0;0
61;1;3;12;0;1;0;1
36;0;0;0;0;0;0;0
47;1;3;25;0;1;0;1
27;1;3;25;1;1;0;1
20;1;3;12;1;1;0;1
57;0;0;0;0;0;0;0
65;3;3;12;1;2;0;1
44;2;3;26;0;1;0;1
39;0;0;0;0;0;0;0
60;1;3;26;0;1;0;1
57;3;3;29;1;2;0;1
19;1;3;26;0;1;0;1
22;1;3;26;0;1;0;1
35;1;3;17;0;1;0;1
34;1;3;17;0;1;0;1
22;2;3;26;0;1;0;1
18;0;0;0;0;0;0;0
43;1;3;27;0;1;0;1
31;0;0;0;0;0;0;2
83;1;4;5;1;1;0;1
58;0;0;0;0;0;0;2
46;1;3;26;0;1;0;1
42;0;0;0;0;0;0;0
34;0;0;0;0;0;0;0
42;3;3;28;1;2;0;1
67;0;0;0;0;0;0;0
42;1;3;28;0;1;0;1
41;3;3;28;1;2;0;1
34;2;3;29;0;1;0;1
43;2;3;30;0;1;0;1
26;0;0;0;1;0;0;0
1;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0
23;0;0;0;1;0;0;0
4;2;3;29;0;1;0;1
50;1;3;30;0;1;0;1
44;0;0;0;0;0;0;0
42;0;0;0;0;0;0;2
36;0;0;0;1;0;0;0
78;2;3;30;1;1;0;1
99;0;0;0;2;0;0;2
19;0;0;0;1;0;0;2
55;3;3;30;0;2;0;1
65;1;3;31;0;1;0;1
99;0;0;0;2;0;0;2
16;1;3;31;1;1;0;1
18;0;0;0;1;0;0;0
48;0;0;0;0;0;0;2
37;2;3;3;0;1;0;1
50;1;3;3;0;1;0;1
32;1;3;3;0;1;0;1
26;1;3;5;0;1;0;1
25;1;3;5;1;1;0;1
30;3;3;5;0;2;0;1
17;3;3;5;0;2;0;1
19;2;3;6;0;1;0;1
21;3;3;6;0;2;0;1
16;3;3;6;0;2;0;1
20;3;3;6;1;2;0;1
19;0;0;0;1;0;0;0
20;3;3;6;0;2;0;1
39;0;0;0;1;0;0;0
46;0;0;0;0;0;0;0
72;3;3;8;1;2;0;1
33;1;3;18;0;1;0;1
99;0;0;0;2;0;0;2
52;1;3;19;0;1;0;1
25;2;3;20;0;1;0;1
30;2;3;20;1;1;0;1
17;0;0;0;0;0;0;2
23;4;3;19;0;5;0;1
62;1;3;29;1;1;0;1
85;0;0;0;1;0;0;0
85;0;0;0;1;0;0;0
53;2;3;18;0;1;0;1
20;0;0;0;0;0;0;2
23;0;0;0;0;0;0;0
23;2;3;19;0;1;0;1
36;2;3;26;0;1;0;1
31;0;0;0;0;0;0;4
30;0;0;0;1;0;0;0
65;0;0;0;0;0;0;0
11;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0
4;0;0;0;1;0;0;0
52;0;0;0;0;0;0;2
42;1;3;28;0;1;0;1
29;1;3;31;0;1;0;1
50;0;0;0;0;0;0;2
32;1;3;19;0;1;0;1
28;4;3;20;0;4;0;1
41;2;3;20;0;1;0;1
35;0;0;0;1;0;0;0
9;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0
29;1;3;22;0;1;0;1
59;0;0;0;0;0;0;2
72;0;0;0;0;0;0;2
8;1;3;22;0;1;0;1
99;0;0;0;2;0;0;2
21;2;3;23;0;1;0;1
16;0;0;0;1;0;0;2
55;1;3;24;0;1;0;1
83;1;3;31;0;1;0;1
85;0;0;0;1;0;0;0
22;0;0;0;0;0;0;0
43;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
51;1;3;24;1;1;0;1
26;0;0;0;1;0;0;2
52;1;1;1;0;1;0;1
50;0;0;0;0;0;0;2
18;1;1;6;1;1;0;1
14;1;1;6;1;1;0;1
23;0;0;0;1;0;0;3
1;0;0;0;1;0;0;0
1;0;0;0;1;0;0;0
2;0;0;0;0;0;0;4
3;0;0;0;0;0;0;0
45;0;0;0;0;0;0;0
43;2;3;17;0;1;0;1
33;0;0;0;0;0;0;0
47;1;1;21;0;1;0;1
22;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0
24;0;0;0;0;0;0;0
24;0;0;0;1;0;0;0
23;3;2;21;1;2;0;1
62;2;1;21;0;1;0;1
53;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
32;2;2;23;0;1;0;1
20;1;1;27;1;1;0;1
34;1;1;23;1;1;0;1
55;0;0;0;0;0;0;0
8;1;1;29;0;1;0;1
56;1;2;1;1;1;0;1
56;2;2;1;0;1;0;1
30;1;2;3;0;1;0;1
40;1;2;22;1;1;0;1
43;0;0;0;0;0;0;0
41;2;2;22;0;1;0;1
58;0;0;0;0;0;0;2
39;1;2;23;0;1;0;1
46;0;0;0;1;0;0;0
25;1;4;1;1;1;0;1
21;0;0;0;0;0;0;0
21;0;0;0;1;0;0;0
30;3;4;1;1;2;0;1
29;0;0;0;0;0;0;0
99;0;0;0;2;0;0;2
56;1;4;3;1;1;0;1
27;3;4;3;2;2;0;1
62;0;0;0;0;0;0;0
26;1;4;3;1;1;0;1
17;3;4;3;1;2;0;1
17;3;4;3;1;2;0;1
60;0;0;0;1;0;0;2
69;0;0;0;1;0;0;0
51;0;0;0;0;0;0;2
15;0;0;0;0;0;0;0
99;0;0;0;2;0;0;2
16;0;0;0;1;0;0;2
99;0;0;0;2;0;0;2
19;2;4;3;0;1;0;1
21;1;4;3;0;1;0;1
24;0;0;0;1;0;0;0
14;2;4;4;1;1;0;1
47;1;4;3;0;1;0;1
30;0;0;0;0;0;0;2
22;2;4;3;0;1;0;1
27;2;4;3;0;1;0;1
33;3;4;3;0;2;0;1
31;0;0;0;0;0;0;0
37;2;4;5;0;1;0;1
80;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
31;1;2;8;1;1;0;1
33;0;0;0;0;0;0;0
24;0;0;0;1;0;0;0
5;2;4;3;0;1;0;1
59;0;0;0;0;0;0;0
77;1;4;3;1;1;0;1
56;0;0;0;1;0;0;0
99;0;0;0;2;0;0;2
30;0;0;0;0;0;0;0
99;0;0;0;2;0;0;2
22;1;4;3;0;1;0;1
36;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
22;1;2;8;0;1;0;1
59;0;0;0;0;0;0;0
72;0;0;0;1;0;0;0
65;1;2;11;0;1;0;1
52;1;4;4;0;1;0;1
65;1;4;5;1;1;0;1
47;1;4;5;0;1;0;1
44;3;4;5;1;2;0;1
56;1;4;6;0;1;0;1
43;0;0;0;1;0;0;0
5;0;0;0;0;0;0;0
13;3;4;6;1;2;0;1
4;0;0;0;1;0;0;0
75;0;0;0;1;0;0;0
77;3;4;6;0;2;0;1
32;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
38;0;0;0;0;0;0;2
32;0;0;0;0;0;0;0
1;0;0;0;1;0;0;0
51;1;2;13;1;1;0;1
38;0;0;0;0;0;0;0
62;0;0;0;0;0;0;2
22;1;4;7;0;1;0;1
24;1;4;7;0;1;0;1
19;3;4;7;1;2;0;1
47;0;0;0;0;0;0;2
86;1;4;7;0;1;0;1
68;0;0;0;1;0;0;0
26;1;4;8;0;1;0;1
18;0;0;0;0;0;0;2
13;0;0;0;0;0;0;0
42;1;4;9;1;1;0;1
26;0;0;0;0;0;0;0
20;0;0;0;1;0;0;2
99;0;0;0;2;0;0;2
19;0;0;0;1;0;0;0
23;0;0;0;0;0;0;0
23;2;4;8;0;1;0;1
38;0;0;0;1;0;0;0
14;1;2;15;0;1;0;1
58;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
99;0;0;0;2;0;0;2
99;0;0;0;2;0;0;2
99;0;0;0;2;0;0;2
99;0;0;0;2;0;0;2
20;2;2;16;0;1;0;1
30;0;0;0;0;0;0;2
32;0;0;0;1;0;0;2
99;0;0;0;2;0;0;2
65;2;4;17;0;1;0;1
7;1;4;11;0;1;0;1
34;0;0;0;0;0;0;2
20;0;0;0;0;0;0;2
18;2;4;9;0;1;0;1
20;1;4;10;1;1;0;1
1;0;0;0;0;0;0;0
20;0;0;0;1;0;0;0
27;0;0;0;1;0;0;0
6;0;0;0;1;0;0;0
28;0;0;0;0;0;0;0
19;0;0;0;0;0;0;0
29;2;4;17;0;1;0;1
38;0;0;0;0;0;0;0
30;1;4;18;0;1;0;1
20;0;0;0;1;0;0;0
66;1;4;11;1;1;0;1
29;0;0;0;1;0;0;0
40;1;4;11;0;1;0;1
39;0;0;0;0;0;0;2
28;0;0;0;1;0;0;0
37;1;4;18;0;1;0;1
39;1;4;19;1;1;0;1
32;0;0;0;0;0;0;0
36;0;0;0;0;0;0;2
50;3;4;17;0;2;0;1
99;0;0;0;2;0;0;2
41;1;4;16;0;1;0;1
42;1;4;16;0;1;0;1
27;2;4;16;0;1;0;1
17;0;0;0;0;0;0;0
75;0;0;0;1;0;0;0
78;3;4;19;1;2;0;1
20;0;0;0;0;0;0;0
21;3;4;16;0;2;0;1
21;2;4;16;0;1;0;1
18;0;0;0;0;0;0;0
46;0;0;0;0;0;0;0
29;1;4;14;0;1;0;1
3;0;0;0;1;0;0;0
26;2;4;20;0;1;0;1
8;0;0;0;1;0;0;3
5;0;0;0;0;0;0;3
69;1;4;20;1;1;0;1
38;0;0;0;0;0;0;2
20;2;4;12;1;1;0;1
22;3;4;12;0;2;0;1
29;0;0;0;1;0;0;0
35;0;0;0;1;0;0;0
30;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
27;0;0;0;1;0;0;0
73;1;4;14;1;1;0;1
20;1;4;14;0;1;0;1
21;0;0;0;0;0;0;0
49;0;0;0;0;0;0;2
36;0;0;0;1;0;0;0
52;2;4;13;1;1;0;1
40;1;4;20;1;1;0;1
4;1;4;20;0;1;0;1
4;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0
24;1;4;20;0;1;0;1
59;0;0;0;0;0;0;2
27;0;0;0;1;0;0;0
13;2;1;1;1;1;0;1
3;0;0;0;1;0;0;0
14;0;0;0;1;0;0;0
9;0;0;0;1;0;0;0
12;0;0;0;1;0;0;0
54;2;3;11;0;1;0;1
49;0;0;0;1;0;0;0
19;0;0;0;0;0;0;0
17;2;3;16;1;1;0;1
23;0;0;0;1;0;0;0
14;0;0;0;1;0;0;0
55;1;4;21;1;1;0;1
74;1;4;23;0;1;0;1
31;0;0;0;0;0;0;0
40;2;4;11;0;1;0;1
44;2;4;11;0;1;0;1
23;0;0;0;0;0;0;0
25;0;0;0;1;0;0;0
3;0;0;0;1;0;0;0
0;6;4;23;0;6;0;1
44;0;0;0;1;0;0;0
69;2;4;22;1;1;0;1
36;0;0;0;1;0;0;0
22;1;4;22;1;1;0;1
20;0;0;0;1;0;0;0
1;0;0;0;1;0;0;0
14;0;0;0;0;0;0;0
16;0;0;0;1;0;0;0
19;2;5;1;0;1;0;1
25;0;0;0;0;0;0;0
32;1;5;2;0;1;0;1
61;1;4;22;0;1;0;1
23;0;0;0;1;0;0;2
99;0;0;0;2;0;0;2
99;0;0;0;2;0;0;2
56;1;5;2;0;1;0;1
25;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
41;1;5;1;1;1;0;1
44;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
99;0;0;0;2;0;0;2
22;0;0;0;2;0;0;2
99;0;0;0;2;0;0;2
78;1;5;2;1;1;0;1
41;0;0;0;0;0;0;2
25;1;4;23;0;1;0;1
21;0;0;0;0;0;0;0
21;1;5;3;0;4;0;1
24;0;0;0;0;0;0;0
17;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0
73;1;5;4;0;1;0;1
77;0;0;0;0;0;0;0
47;0;0;0;0;0;0;0
28;0;0;0;1;0;0;0
45;1;4;23;0;1;0;1
34;1;5;5;0;4;0;1
63;1;5;5;1;1;0;1
35;0;0;0;0;0;0;2
32;0;0;0;0;0;0;0
33;0;0;0;0;0;0;0
16;2;4;24;0;1;0;1
20;1;4;24;1;1;0;1
25;0;0;0;0;0;0;0
31;1;5;5;1;1;0;1
24;0;0;0;0;0;0;0
46;0;0;0;0;0;0;0
38;0;0;0;1;0;0;2
21;1;5;6;0;1;0;1
20;0;0;0;0;0;0;0
41;0;0;0;0;0;0;0
15;2;5;6;1;1;0;1
27;0;0;0;0;0;0;0
10;1;5;6;0;1;0;1
16;1;5;6;0;1;0;1
60;0;0;0;1;0;0;2
54;2;5;7;0;1;0;1
48;2;4;24;0;1;0;1
32;0;0;0;1;0;0;2
34;1;4;24;1;1;0;1
17;2;4;25;0;1;0;1
29;0;0;0;0;0;0;0
26;0;0;0;0;0;0;0
21;2;5;7;0;4;0;1
23;0;0;0;0;0;0;0
57;0;0;0;0;0;0;0
50;1;5;7;0;1;0;1
40;0;0;0;0;0;0;2
22;1;5;7;0;1;0;1
21;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0
32;0;0;0;0;0;0;0
73;1;5;7;0;1;0;1
17;1;5;7;1;1;0;1
65;1;5;7;1;1;0;1
65;0;0;0;0;0;0;0
25;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
99;0;0;0;2;0;0;2
9;2;5;31;1;1;0;1
23;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
44;2;5;8;1;1;0;1
45;1;5;8;0;1;0;1
32;2;5;8;0;1;0;1
33;1;4;25;0;1;0;1
30;0;0;0;1;0;0;0
57;1;4;28;1;1;0;1
24;1;5;9;0;1;0;1
54;0;0;0;0;0;0;2
47;1;5;9;0;1;0;1
19;1;5;9;0;1;0;1
23;1;5;8;0;4;0;1
17;1;5;8;0;4;0;1
24;1;5;8;0;4;0;1
31;1;5;8;0;4;0;1
19;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0
19;0;0;0;0;0;0;0
33;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
60;1;5;20;1;1;0;1
20;0;0;0;0;0;0;0
49;1;5;11;1;1;0;1
18;2;4;27;1;1;0;1
50;2;5;9;0;1;0;1
25;0;0;0;0;0;0;0
47;0;0;0;0;0;0;0
43;1;5;12;1;1;0;1
62;2;4;27;0;1;0;1
66;1;5;12;0;1;0;1
28;0;0;0;0;0;0;2
20;1;4;28;1;1;0;1
21;0;0;0;0;0;0;0
32;0;0;0;1;0;0;0
24;2;5;13;1;1;0;1
40;1;5;12;0;1;0;1
45;1;5;13;0;1;0;1
27;2;5;13;0;1;0;1
17;0;0;0;1;0;0;0
20;1;4;28;0;1;0;1
22;0;0;0;0;0;0;0
17;1;5;14;0;1;0;1
69;1;4;28;0;1;0;1
63;1;5;14;1;1;0;1
10;0;0;0;1;0;0;0
34;0;0;0;0;0;0;2
24;1;4;28;1;1;0;1
70;1;5;14;0;1;0;1
42;0;0;0;0;0;0;0
40;0;0;0;1;0;0;0
11;0;0;0;0;0;0;0
21;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
53;1;5;14;0;4;0;1
40;0;0;0;0;0;0;0
69;0;0;0;0;0;0;2
31;0;0;0;1;0;0;0
40;1;5;14;1;1;0;1
28;0;0;0;0;0;0;0
43;1;5;14;1;1;0;1
50;2;5;14;0;4;0;1
35;0;0;0;1;0;0;0
11;2;5;14;1;1;0;1
10;0;0;0;1;0;0;0
25;2;5;15;1;1;0;1
22;0;0;0;1;0;0;0
1;0;0;0;1;0;0;0
3;0;0;0;0;0;0;0
18;0;0;0;1;0;0;0
18;0;0;0;1;0;0;0
17;0;0;0;1;0;0;0
20;2;5;15;0;1;0;1
18;2;5;15;0;1;0;1
47;0;0;0;0;0;0;0
20;1;5;15;1;1;0;1
16;1;4;29;1;1;0;1
19;0;0;0;0;0;0;0
42;0;0;0;0;0;0;2
64;1;5;15;0;1;0;1
61;0;0;0;1;0;0;0
2;0;0;0;0;0;0;4
42;1;5;16;1;1;0;1
44;0;0;0;1;0;0;2
41;0;0;0;0;0;0;2
85;0;0;0;0;0;0;3
80;1;5;16;1;1;0;1
44;0;0;0;0;0;0;0
14;0;0;0;1;0;0;0
50;1;5;16;0;1;0;1
63;2;5;16;0;1;0;1
72;0;0;0;0;0;0;2
34;2;4;29;0;1;0;1
24;0;0;0;0;0;0;2
99;0;0;0;2;0;0;2
41;1;4;30;1;1;0;1
42;2;4;30;1;1;0;1
52;0;0;0;0;0;0;0
48;0;0;0;1;0;0;0
61;1;4;30;0;1;0;1
61;1;4;30;1;1;0;1
16;1;5;17;0;1;0;1
18;0;0;0;0;0;0;0
59;0;0;0;0;0;0;0
57;2;5;19;1;1;0;1
28;0;0;0;1;0;0;0
60;2;6;2;1;1;0;1
7;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0
51;1;5;18;1;1;0;1
82;0;0;0;1;0;0;0
85;1;5;17;0;1;0;1
19;0;0;0;0;0;0;0
23;0;0;0;1;0;0;0
4;0;0;0;1;0;0;0
3;2;5;19;0;1;0;1
2;0;0;0;0;0;0;0
17;2;4;30;0;1;0;1
99;0;0;0;2;0;0;2
27;1;5;19;0;1;0;1
