ZIP;AGE;GENDER;INCOME;STATE;RAMNTALL;NGIFTALL;MINRAMNT
80537;56;1;5000;30;41;5;5
92084;88;0;6000;0;180;5;10
35117;53;1;4000;13;78;6;5
94965;89;1;4000;0;110;15;3
77511;83;0;5000;8;613;9;3
33162;52;0;4000;1;126;10;5
60626;43;1;1000;6;51;4;3
58102;67;1;2000;32;83;19;2
61010;39;0;5000;6;190;13;5
47714;49;0;5000;2;69;6;5
85715;62;0;7000;19;135;20;4
49068;71;0;2000;5;79;7;5
95409;87;1;1000;0;72;24;1
53151;72;1;1000;11;117;17;3
92336;72;0;5000;0;45;2;20
80501;80;0;7000;30;31;6;3
72103;77;1;5000;25;34;5;5
27970;97;1;2000;9;105;14;3
72032;56;1;7000;25;194;14;5
36907;61;1;1000;13;161;44;2
33437;75;0;2000;1;135;15;5
77657;40;1;6000;8;90;5;10
88352;59;0;2000;26;53;9;3
73501;50;1;6000;22;61;4;5
90046;70;1;4000;0;464;21;5
49335;48;0;3000;5;165;7;5
35811;90;1;5000;13;61;16;2
97754;88;0;6000;18;108;9;5
90703;53;0;6000;0;15;1;15
49071;61;0;2000;5;198;13;5
52225;83;0;2000;12;86;7;5
33177;41;0;3000;1;106;12;3
63127;52;0;4000;7;20;1;20
80103;83;0;3000;30;71;5;10
34465;74;0;3000;1;58;15;2
48126;31;1;7000;5;20;1;20
98072;75;0;6000;10;15;1;15
80022;58;1;4000;30;77;7;5
67212;86;1;1000;24;15;1;15
74464;64;0;7000;22;38;7;3
77905;61;0;4000;8;56;6;3
53118;40;0;5000;11;45;3;10
92056;78;1;3000;0;50;3;10
92057;83;0;4000;0;72;4;15
95630;64;1;1000;0;67;4;10
64129;77;0;2000;7;74;7;5
32110;88;1;2000;1;30;3;5
93065;60;0;6000;0;48;2;24
75667;83;1;2000;8;97;8;5
30310;64;0;4000;14;45;2;20
91780;38;0;5000;0;89;7;7
90603;83;1;5000;0;98;14;3
97355;85;1;5000;18;1248;71;0
98383;44;1;3000;10;76;5;10
80241;49;0;2000;30;26;4;4
42748;72;0;3000;17;77;7;5
98155;59;0;5000;10;93;14;3
92139;66;0;4000;0;366;28;5
78242;69;0;4000;8;108;9;5
28208;49;0;4000;9;40;4;3
30179;66;1;6000;14;55;5;5
47396;50;1;4000;2;131;9;5
98292;59;0;6000;10;65;5;10
48313;63;0;7000;5;190;17;5
33156;48;0;6000;1;25;1;25
93035;51;1;7000;0;91;5;5
89128;52;0;5000;20;35;3;10
65452;71;0;1000;7;141;18;2
78801;74;1;4000;8;45;3;5
55396;64;0;5000;3;40;2;20
60139;82;0;5000;6;22;2;7
78727;46;1;5000;8;138;24;2
93401;84;0;5000;0;115;8;5
60429;91;1;1000;6;130;10;3
30349;68;0;5000;14;520;26;10
48079;60;1;2000;5;74;6;5
49442;46;1;2000;5;55;3;10
92021;60;0;4000;0;62;10;5
86045;48;1;5000;19;64;12;3
98125;51;0;4000;10;74;5;10
84121;34;0;7000;4;40;3;5
74075;72;0;3000;22;46;4;5
78721;54;1;4000;8;51;3;15
68701;40;1;5000;33;20;2;5
60025;81;0;6000;6;15;1;15
93705;88;0;5000;0;61;4;10
28717;76;0;5000;9;94;9;2
37686;47;1;7000;27;57;4;10
64134;79;0;2000;7;94;12;5
60558;58;0;5000;6;55;10;3
70123;70;1;1000;21;25;2;10
63376;86;0;5000;7;69;14;3
55744;81;0;2000;3;335;12;20
38651;37;1;5000;29;42;4;5
98942;60;1;2000;10;190;10;10
77091;65;0;6000;8;25;3;5
60628;69;0;4000;6;42;3;10
63119;39;1;4000;7;15;1;15
33415;68;0;1000;1;35;5;5
56172;70;1;3000;3;157;13;0
30152;69;0;6000;14;95;4;5
84075;26;1;3000;4;15;1;15
92505;92;1;4000;0;51;3;15
32207;42;1;6000;1;106;8;5
99156;84;0;3000;10;210;21;5
55106;60;0;2000;3;63;12;3
84010;47;1;5000;4;142;11;10
32824;46;0;2000;1;51;3;15
89122;59;1;2000;20;70;5;10
30752;65;1;2000;14;379;46;2
64633;89;1;1000;7;638;15;3
33004;73;0;6000;1;83;5;10
64116;51;0;5000;7;95;11;3
94579;38;1;4000;0;40;2;20
33161;72;1;1000;1;401;51;3
36801;42;1;5000;13;142;19;3
61103;43;0;7000;6;484;39;3
94530;38;0;5000;0;131;17;5
60187;71;0;5000;6;52;4;10
91304;50;1;5000;0;66;5;5
59105;28;1;2000;28;30;2;15
93004;72;1;1000;0;72;8;3
60447;56;0;6000;6;20;1;20
39337;74;0;5000;29;71;9;3
98178;81;0;6000;10;77;17;1
29360;74;1;1000;15;145;16;5
93720;69;1;2000;0;345;36;5
55044;78;0;3000;3;192;21;3
46220;32;1;2000;2;45;2;20
28137;44;1;3000;9;55;3;15
68123;35;1;5000;33;60;4;10
48826;40;1;5000;5;32;3;5
33433;80;1;1000;1;49;3;15
85351;89;1;4000;19;135;18;2
34711;28;0;5000;1;40;5;5
29591;55;0;1000;15;63;11;3
60457;73;0;3000;6;25;2;10
61704;47;0;7000;6;55;4;5
34231;21;0;5000;1;167;9;2
29812;65;1;3000;15;101;8;3
91702;60;0;4000;0;133;25;3
97850;85;3;1000;18;73;10;5
33756;90;1;2000;1;108;16;3
64050;60;1;2000;7;22;2;7
85710;77;1;4000;19;106;13;3
30066;72;0;1000;14;25;1;25
51104;79;0;2000;12;148;17;2
93436;68;0;6000;0;15;1;15
98004;30;0;7000;10;45;5;5
98264;38;0;2000;10;50;3;10
29841;54;0;6000;15;92;10;3
92019;65;1;6000;0;30;2;10
91761;34;0;4000;0;48;3;13
65041;42;0;7000;7;141;14;3
71129;78;0;4000;21;94;9;5
75904;32;1;5000;8;54;4;10
90305;72;1;2000;0;84;6;5
27107;84;0;1000;9;25;1;25
72315;79;0;3000;25;35;2;10
95127;43;0;4000;0;172;12;10
77586;63;0;6000;8;90;5;10
79925;81;1;2000;8;193;19;5
98862;73;1;2000;10;123;19;4
95124;73;0;5000;0;82;15;3
35124;74;1;6000;13;25;1;25
90278;71;1;7000;0;308;32;3
49426;75;1;3000;5;103;8;3
38920;64;0;3000;29;43;4;5
92648;36;0;5000;0;30;3;5
60617;56;1;4000;6;50;2;25
71203;74;1;4000;21;185;20;3
98682;86;1;2000;10;1405;14;5
41169;62;0;4000;17;31;3;5
55009;75;0;5000;3;62;11;2
28673;58;0;3000;9;106;29;3
77061;73;0;5000;8;49;3;10
98023;39;1;7000;10;15;1;15
49242;45;0;1000;5;130;13;5
76022;81;1;3000;8;126;29;2
53210;74;1;1000;11;125;39;2
79924;42;4;2000;8;148;17;5
95949;52;1;5000;0;26;2;5
77002;79;0;3000;8;40;2;15
39439;58;1;3000;29;181;6;25
47613;64;0;1000;2;126;22;3
28540;86;1;2000;9;60;6;10
78201;49;1;1000;8;35;5;5
53186;41;1;5000;11;136;16;3
32539;65;0;3000;1;79;6;5
98686;72;0;3000;10;64;5;10
32301;78;0;3000;1;52;5;10
94611;73;1;6000;0;320;33;5
28539;54;1;3000;9;156;32;3
54304;85;1;2000;11;346;29;5
53110;68;1;4000;11;38;5;3
98685;76;0;5000;10;115;10;3
32246;68;0;1000;1;15;1;15
85367;66;1;2000;19;20;1;20
99324;50;1;5000;10;155;8;10
97233;67;0;4000;18;103;12;5
95945;36;0;4000;0;35;2;10
62226;86;0;2000;6;108;13;3
64063;38;1;5000;7;59;6;5
94587;80;0;1000;0;267;11;10
95380;60;1;2000;0;178;30;3
77521;54;1;5000;8;36;3;10
98925;62;0;3000;10;75;6;5
27828;73;1;1000;9;71;4;6
95667;54;1;6000;0;56;4;5
77059;66;0;7000;8;61;3;6
67854;86;1;4000;24;205;15;10
85920;69;1;2000;19;88;13;2
33462;58;0;3000;1;51;4;5
85345;72;0;4000;19;100;11;5
85653;82;0;1000;19;183;19;5
60103;35;1;7000;6;62;3;10
57701;63;1;3000;16;90;9;5
60505;74;1;1000;6;319;33;5
94044;46;1;4000;0;448;22;5
33801;82;1;2000;1;75;31;2
30068;50;0;6000;14;70;3;20
37803;56;1;6000;27;143;17;3
62036;62;0;3000;6;48;4;3
50310;59;0;3000;12;77;8;5
98110;82;1;5000;10;89;5;15
48017;42;1;5000;5;116;6;10
32063;67;1;6000;1;125;5;25
33023;70;1;3000;1;103;13;5
92780;53;1;6000;0;20;2;5
61048;75;0;2000;6;89;22;1
75082;58;1;6000;8;114;11;3
35077;55;0;2000;13;112;10;10
37742;48;1;4000;27;20;1;20
39307;75;1;2000;29;32;4;5
54110;88;1;1000;11;127;41;1
71106;82;1;2000;21;60;7;5
76114;42;1;4000;8;25;3;5
48001;58;0;6000;5;25;1;25
32765;62;1;2000;1;67;5;10
48101;55;3;4000;5;162;25;3
28173;74;0;2000;9;127;4;12
98168;88;1;6000;10;476;35;5
76513;30;0;5000;8;46;3;10
74873;88;0;2000;22;445;15;5
48917;43;0;6000;5;82;6;10
63044;46;0;6000;7;47;4;10
55441;77;1;3000;3;85;12;3
49504;54;1;3000;5;36;4;5
92373;69;0;7000;0;142;11;3
94025;67;1;1000;0;30;2;10
33063;73;3;4000;1;105;3;25
77521;59;0;7000;8;98;27;2
97008;74;1;5000;18;53;6;5
95310;68;1;7000;0;582;31;5
59804;48;1;4000;28;31;4;5
67212;52;0;4000;24;65;10;5
99161;43;0;5000;10;47;3;10
95677;62;1;4000;0;202;3;50
46320;84;0;5000;2;57;4;5
99208;45;0;5000;10;26;3;5
35987;76;0;2000;13;460;29;7
36116;70;3;2000;13;212;27;5
80540;78;3;2000;30;186;10;5
31792;70;0;5000;14;184;16;5
55803;64;1;5000;3;43;11;2
96003;72;1;2000;0;110;5;10
33196;32;1;2000;1;26;2;10
95685;66;0;5000;0;55;2;25
33610;44;1;4000;1;79;21;2
80005;56;1;5000;30;108;16;5
74403;76;1;5000;22;79;13;3
34292;81;1;1000;1;277;19;2
93638;71;0;7000;0;112;6;10
32417;90;1;5000;1;133;11;5
80925;30;1;4000;30;68;4;15
30331;35;0;4000;14;102;5;15
33076;34;0;7000;1;136;19;3
93274;59;1;3000;0;125;11;5
86515;54;0;2000;19;20;1;20
71227;44;1;4000;21;51;3;10
53038;44;0;4000;11;30;2;5
33313;89;0;2000;1;98;13;3
83501;52;1;2000;34;25;4;5
48471;78;0;1000;5;86;9;3
60610;78;1;2000;6;20;2;5
60435;60;0;5000;6;92;4;20
84041;30;0;2000;4;92;9;10
93455;75;1;6000;0;150;5;25
75209;75;1;6000;8;119;10;10
66061;57;1;5000;24;36;8;3
98296;65;0;3000;10;60;2;30
33029;64;0;7000;1;98;7;6
95949;44;1;5000;0;126;13;3
33837;42;0;3000;1;37;4;5
54527;87;1;1000;11;109;17;3
40165;80;1;4000;17;79;16;2
73507;71;0;3000;22;30;3;5
94546;78;1;5000;0;98;15;3
37803;50;1;5000;27;25;1;25
32548;76;1;4000;1;45;1;45
71106;78;1;4000;21;141;13;5
50510;91;1;1000;12;83;16;2
53207;41;0;5000;11;78;17;3
97009;53;3;5000;18;320;13;10
39090;80;0;2000;29;25;1;25
48331;66;0;6000;5;177;19;5
32927;40;1;4000;1;26;4;5
37066;41;1;3000;27;68;10;3
93560;34;0;3000;0;30;2;10
30024;41;0;7000;14;61;5;5
33948;68;1;2000;1;102;20;2
48323;80;1;2000;5;137;8;10
77362;40;1;2000;8;15;1;15
30340;55;1;5000;14;40;2;15
27107;82;1;1000;9;80;7;5
40504;77;1;1000;17;40;2;20
73106;42;0;3000;22;91;5;10
31021;68;1;4000;14;208;27;1
47994;42;1;3000;2;47;6;2
62033;82;1;1000;6;93;8;7
40165;48;1;7000;17;26;2;10
77065;56;0;5000;8;25;1;25
38109;85;1;5000;27;285;21;5
65270;48;1;6000;7;135;20;4
34471;76;1;4000;1;111;12;5
29631;42;0;6000;15;38;5;5
75021;71;1;4000;8;143;17;3
60010;79;1;6000;6;105;5;5
80918;82;0;4000;30;110;10;5
30338;50;1;6000;14;145;3;20
77662;56;0;7000;8;42;5;6
35801;51;1;4000;13;329;27;5
60016;79;0;4000;6;69;5;10
49201;59;1;5000;5;164;13;5
62035;70;0;2000;6;135;8;5
89119;61;1;5000;20;205;18;5
71018;92;1;4000;21;151;23;3
89107;42;1;1000;20;41;4;5
33316;82;0;1000;1;418;31;3
46236;59;1;5000;2;58;5;6
60646;81;1;5000;6;93;7;5
97321;52;0;2000;18;87;6;5
78729;52;1;5000;8;45;2;20
94121;55;0;4000;0;74;8;3
35802;52;0;7000;13;116;15;3
80525;74;0;1000;30;138;13;3
32578;46;1;5000;1;71;7;5
91030;52;1;7000;0;28;2;3
90029;52;1;1000;0;93;11;5
53081;73;1;2000;11;169;23;3
93552;41;0;5000;0;25;1;25
48849;87;1;6000;5;152;22;2
64129;36;1;2000;7;190;9;10
37066;65;1;3000;27;152;19;5
33569;52;1;5000;1;33;4;3
33173;48;1;4000;1;15;1;15
53090;78;0;1000;11;135;18;3
80904;78;0;1000;30;81;8;5
32176;66;0;2000;1;110;2;50
98223;59;0;5000;10;347;32;5
91504;81;1;5000;0;98;6;5
64137;69;0;6000;7;60;3;15
59327;74;0;1000;28;15;1;15
32541;52;0;2000;1;61;6;5
33312;57;1;4000;1;56;8;3
27596;70;0;5000;9;211;13;5
79836;34;1;1000;8;99;18;3
55337;46;1;7000;3;37;3;10
55044;73;1;3000;3;86;13;3
76691;50;0;2000;8;40;2;20
79121;44;0;7000;8;119;9;5
60630;52;1;3000;6;78;5;10
33056;54;1;5000;1;36;4;5
34667;93;1;2000;1;20;1;20
95128;42;1;6000;0;143;8;10
75082;52;1;6000;8;25;1;25
73129;39;0;2000;22;57;8;5
82435;56;1;4000;35;57;4;5
97448;76;1;1000;18;117;12;5
37204;52;1;6000;27;20;1;20
63366;88;1;6000;7;153;45;2
72762;75;1;5000;25;193;10;3
92021;79;0;2000;0;119;10;5
29617;81;1;2000;15;180;11;5
65801;88;1;2000;7;57;18;1
63401;78;1;2000;7;103;24;2
88101;76;0;6000;26;31;4;5
91750;45;1;5000;0;225;7;20
63114;82;0;2000;7;197;14;10
37336;78;1;3000;27;20;1;20
28405;50;1;4000;9;33;4;5
59101;38;1;5000;28;80;6;5
31008;61;1;5000;14;50;3;10
75115;87;1;1000;8;105;12;5
93701;37;0;1000;0;50;4;5
38556;66;0;7000;27;25;3;5
53143;75;1;1000;11;102;10;3
49076;59;1;2000;5;141;17;5
87068;56;1;5000;26;48;11;2
55438;45;1;7000;3;55;5;5
60067;67;1;4000;6;165;7;10
60409;73;0;3000;6;71;7;3
61068;78;0;2000;6;168;28;2
32112;79;1;1000;1;89;21;2
87108;64;0;2000;26;105;6;10
31763;76;1;7000;14;100;4;15
91734;50;1;4000;0;41;9;3
54728;83;1;1000;11;63;13;3
68154;79;1;7000;33;65;7;5
97114;34;0;4000;18;60;5;10
48227;54;1;3000;5;30;2;15
31406;63;0;6000;14;89;8;5
70570;29;1;3000;21;20;1;20
94602;92;0;5000;0;225;13;5
93535;55;1;4000;0;255;8;25
60172;63;1;3000;6;78;8;5
68847;73;0;2000;33;280;22;3
80127;45;1;5000;30;60;3;20
53140;75;0;2000;11;168;21;3
94588;67;0;4000;0;135;13;5
92084;76;1;1000;0;25;3;5
90232;66;1;7000;0;112;12;2
63051;77;0;3000;7;113;17;3
64037;33;0;1000;7;30;2;15
89102;32;0;1000;20;28;2;8
47638;84;0;1000;2;126;19;2
90020;78;1;5000;0;101;7;12
28262;60;1;5000;9;98;12;3
80122;70;1;5000;30;386;38;2
29461;59;0;2000;15;243;9;5
29585;63;1;3000;15;45;4;5
32127;40;1;7000;1;65;8;2
33609;85;1;1000;1;32;4;5
47250;76;0;2000;2;20;1;20
34470;70;1;3000;1;72;11;5
76133;76;0;5000;8;25;2;10
66605;49;1;2000;24;55;4;10
36866;76;0;1000;13;40;3;10
28083;63;0;6000;9;149;16;5
67216;53;0;4000;24;105;10;5
28152;79;0;6000;9;15;1;15
78612;52;1;4000;8;94;8;5
90062;71;1;1000;0;111;7;5
67579;26;1;2000;24;90;12;3
30033;49;0;5000;14;104;11;5
75862;75;0;2000;8;130;6;15
33351;36;1;4000;1;155;18;5
70072;65;1;4000;21;54;3;6
30236;75;1;2000;14;195;15;5
39553;46;0;5000;29;40;2;20
94904;86;0;7000;0;35;2;10
92071;52;0;6000;0;150;12;5
60624;68;3;2000;6;103;14;5
84092;39;0;7000;4;67;3;20
77477;50;0;6000;8;65;4;10
52411;37;1;6000;12;80;7;10
85748;83;1;4000;19;122;10;5
60202;52;1;3000;6;20;1;20
46952;52;0;5000;2;68;6;5
96825;31;1;3000;31;37;4;5
78411;72;1;5000;8;206;12;5
98221;42;0;4000;10;25;1;25
97058;92;1;1000;18;45;4;5
47390;70;0;3000;2;64;5;9
53225;42;0;4000;11;40;4;5
34613;90;0;2000;1;123;16;3
27529;72;1;1000;9;65;8;5
98038;70;1;6000;10;20;1;20
60031;81;0;5000;6;143;13;5
92504;63;0;7000;0;137;14;5
89413;52;1;7000;20;30;2;10
48218;72;1;4000;5;66;8;5
28539;59;1;5000;9;145;22;5
46222;69;1;2000;2;51;8;3
53545;70;1;2000;11;245;13;6
72454;66;1;1000;25;70;5;5
74137;75;1;4000;22;98;12;3
32958;78;0;5000;1;32;8;2
27107;78;1;4000;9;71;7;5
85219;56;0;7000;19;82;10;3
98337;54;0;5000;10;15;1;15
29924;59;1;4000;15;74;6;5
97201;87;0;4000;18;99;14;3
70342;54;1;4000;21;123;14;5
28657;66;0;1000;9;60;9;3
78839;63;0;2000;8;36;4;5
70665;56;1;5000;21;30;2;5
35208;58;0;3000;13;20;1;20
55115;34;1;5000;3;115;7;10
48208;84;1;1000;5;28;4;5
70806;94;0;3000;21;162;10;10
74135;80;1;7000;22;272;10;5
49428;78;0;7000;5;246;29;4
60440;44;0;4000;6;25;1;25
46901;44;3;3000;2;220;13;5
58257;68;1;6000;32;98;12;5
95209;60;0;2000;0;105;14;3
81648;37;1;2000;30;96;6;5
94579;72;0;3000;0;31;6;3
94086;50;1;4000;0;64;13;3
67846;36;0;4000;24;276;22;3
65742;24;0;7000;7;52;4;5
27282;44;0;5000;9;60;6;5
59911;64;1;5000;28;54;10;2
95050;51;0;5000;0;211;18;5
91722;74;0;5000;0;107;27;2
